Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
201712;Ejerlejlighed;København;1666;København V;723055.0799617126;6175058.730454058;723137.1308532142;6175264.863604446;55,67001331;12,54711267;;73;73;TRUE;d;1;9999;9999;9999;1970;1992;2143;2495000;2495000;2395000;36;36
201507;Ejerlejlighed;København;2100;København Ø;726065.7324451853;6178169.566311391;726147.8102077136;6178375,711;55,69651895;12,59744734;;75;75;TRUE;c;1;9999;9999;9999;1994;;4135;2850000;2850000;2850000;17;17
202105;Ejerlejlighed;København;2100;København Ø;726068.0559035367;6178170.0003279485;726150.1336817334;6178376.145251616;55,69652176;12,59748459;;75;75;TRUE;c;1;9999;9999;9999;1994;;4345;3995000;3995000;3905000;82;347
201705;Ejerlejlighed;København;2100;København Ø;726065.7324451853;6178169.566311391;726147.8102077136;6178375,711;55,69651895;12,59744734;7886;75;75;TRUE;c;1;9999;9999;9999;1994;;3989;3500000;3500000;3500000;3;3
201705;Ejerlejlighed;København;2300;København S;727526.3152372143;6173393.816249669;727608.3898825892;6173599.927435228;55,65301;12,61668;;56;56;TRUE;d;1;9999;9999;9999;1934;;1924;1995000;1995000;2000000;19;19
201401;Ejerlejlighed;København;2300;København S;727526.3152372143;6173393.816249669;727608.3898825892;6173599.927435228;55,65301;12,61668;;56;56;TRUE;d;1;9999;9999;9999;1934;;;1200000;1200000;1160000;137;202
202010;Ejerlejlighed;København;2300;København S;727526.6921352786;6173394.833961772;727608.7667856312;6173600.945152759;55,65301895;12,61668682;;56;56;TRUE;d;1;9999;9999;9999;1934;;1960;2195000;2195000;2195000;11;237
201311;Ejerlejlighed;København;2720;Vanløse;719494.0000592292;6177528.000236379;719576.0350028635;6177734.1580793895;55,69378134;12,49257709;;121;121;TRUE;d;1;9999;9999;9999;1932;;;2595000;2595000;2415000;118;118
201711;Ejerlejlighed;København;2720;Vanløse;719493.0901560886;6177529.159666996;719575,1251;6177735.317519634;55,69379215;12,49256357;;121;121;TRUE;d;1;9999;9999;9999;1932;;2799;3825000;3825000;3825000;49;49
202101;Ejerlejlighed;København;2900;Hellerup;723922.2938110083;6181569.661414154;724004.3669031253;6181775.833183324;55,72800446;12,56619263;;108;108;TRUE;c;2;9999;9999;9999;2004;;6035;5195000;5195000;5195000;24;24
201703;Ejerlejlighed;København;2900;Hellerup;723922.2901026496;6181569.660108083;724004.3631947398;6181775.831877255;55,72800445;12,56619257;;108;108;FALSE;c;2;9999;9999;9999;2004;;5718;4200000;4200000;4150000;0;0
