År,Uge,Lang rente
2013,6,3.48
2013,5,3.47
2013,4,3.34
2013,3,3.28
2013,2,3.28
2013,1,3.28
2012,52,3.28
2012,51,3.32
2012,50,3.27
2012,49,3.37
2012,48,3.42
2012,47,3.47
2012,46,3.49
2012,45,3.51
2012,44,3.51
2012,43,3.58
2012,42,3.59
2012,41,3.53
2012,40,3.51
2012,39,3.54
2012,38,3.62
2012,37,3.54
2012,36,3.45
2012,35,3.46
2012,34,3.53
2012,33,3.55
2012,32,3.56
2012,31,3.53
2012,30,3.50
2012,29,3.51
2012,28,3.55
2012,27,3.62
2012,26,3.66
2012,25,3.61
2012,24,3.50
2012,23,3.51
2012,22,3.63
2012,21,3.68
2012,20,3.73
2012,19,3.82
2012,18,3.83
2012,17,3.86
2012,16,3.86
2012,15,3.90
2012,14,3.92
2012,13,3.94
2012,12,3.92
2012,11,3.90
2012,10,3.97
2012,9,3.97
2012,8,3.96
2012,7,3.98
2012,6,3.92
2012,5,3.99
2012,4,3.88
2012,3,4.06
2012,2,4.04
2012,1,4.10
2011,52,4.14
2011,51,4.19
2011,50,4.26
2011,49,4.30
2011,48,4.30
2011,47,4.28
2011,46,4.31
2011,45,4.35
2011,44,4.38
2011,43,4.36
2011,42,4.34
2011,41,4.26
2011,40,4.27
2011,39,4.24
2011,38,4.33
2011,37,4.35
2011,36,4.46
2011,35,4.40
2011,34,4.56
2011,33,4.85
2011,32,5.04
2011,31,5.03
2011,30,5.06
2011,29,5.09
2011,28,5.16
2011,27,5.11
2011,26,5.12
2011,25,5.08
2011,24,5.08
2011,23,5.07
2011,22,5.09
2011,21,5.14
2011,20,5.11
2011,19,5.22
2011,18,5.19
2011,17,5.23
2011,16,5.26
2011,15,5.06
2011,14,5.13
2011,13,5.14
2011,12,5.03
2011,11,5.17
2011,10,4.94
2011,9,5.09
2011,8,5.14
2011,7,4.94
2011,6,4.73
2011,5,4.62
2011,4,4.59
2011,3,4.57
2011,2,4.57
2011,1,4.60
2010,52,4.68
2010,51,4.80
2010,50,4.61
2010,49,4.53
2010,48,4.43
2010,47,4.37
2010,46,4.30
2010,45,4.29
2010,44,4.31
2010,43,4.26
2010,42,4.19
2010,41,4.18
2010,40,4.20
2010,39,4.24
2010,38,4.24
2010,37,4.18
2010,36,4.13
2010,35,4.12
2010,34,4.18
2010,33,4.25
2010,32,4.34
2010,31,4.39
2010,30,4.35
2010,29,4.35
2010,28,4.32
2010,27,4.32
2010,26,4.37
2010,25,4.38
2010,24,4.31
2010,23,4.31
2010,22,4.36
2010,21,4.46
2010,20,4.53
2010,19,4.55
2010,18,4.63
2010,17,4.68
2010,16,4.64
2010,15,4.75
2010,14,4.88
2010,13,4.68
2010,12,4.79
2010,11,4.85
2010,10,4.88
2010,9,4.95
2010,8,4.93
2010,7,5.02
2010,6,5.01
2010,5,5.08
2010,4,5.06
2010,3,5.12
2010,2,5.20
2010,1,5.20
2009,53,5.19
2009,52,5.18
2009,51,5.17
2009,50,5.14
2009,49,5.20
2009,48,5.22
2009,47,5.26
2009,46,5.30
2009,45,5.28
2009,44,5.29
2009,43,5.25
2009,42,5.20
2009,41,5.19
2009,40,5.21
2009,39,5.25
2009,38,5.24
2009,37,5.24
2009,36,5.20
2009,35,5.20
2009,34,5.28
2009,33,5.29
2009,32,5.29
2009,31,5.35
2009,30,5.35
2009,29,5.34
2009,28,5.31
2009,27,5.38
2009,26,5.48
2009,25,5.53
2009,24,5.59
2009,23,5.43
2009,22,5.48
2009,21,5.46
2009,20,5.46
2009,19,5.48
2009,18,5.54
2009,17,5.48
2009,16,5.44
2009,15,5.55
2009,14,5.49
2009,13,5.61
2009,12,5.84
2009,11,6.01
2009,10,6.11
2009,9,6.23
2009,8,6.13
2009,7,6.15
2009,6,6.29
2009,5,6.35
2009,4,6.03
2009,3,6.18
2009,2,6.12
2009,1,6.50
2008,52,6.58
2008,51,6.62
2008,50,6.53
2008,49,6.60
2008,48,6.88
2008,47,7.03
2008,46,7.18
2008,45,7.25
2008,44,7.43
2008,43,7.37
2008,42,7.44
2008,41,7.19
2008,40,7.10
2008,39,7.06
2008,38,6.73
2008,37,6.49
2008,36,6.50
2008,35,6.60
2008,34,6.53
2008,33,6.73
2008,32,7.08
2008,31,7.09
2008,30,7.18
2008,29,7.14
2008,28,7.15
2008,27,7.12
2008,26,7.13
2008,25,6.62
2008,24,6.55
2008,23,6.40
2008,22,6.33
2008,21,6.28
2008,20,6.22
2008,19,6.20
2008,18,6.18
2008,17,6.15
2008,16,6.09
2008,15,6.06
2008,14,6.03
2008,13,5.93
2008,12,5.72
2008,11,5.73
2008,10,5.61
2008,9,5.67
2008,8,5.72
2008,7,5.59
2008,6,5.68
2008,5,5.77
2008,4,5.94
2008,3,6.01
2008,2,6.11
2008,1,5.73
2007,52,5.94
2007,51,5.95
2007,50,5.82
2007,49,5.63
2007,48,5.59
2007,47,5.64
2007,46,5.68
2007,45,5.79
2007,44,5.82
2007,43,5.95
2007,42,5.99
2007,41,6.02
2007,40,6.13
2007,39,6.11
2007,38,6.09
2007,37,6.11
2007,36,6.12
2007,35,6.13
2007,34,6.15
2007,33,6.15
2007,32,6.15
2007,31,6.16
2007,30,6.21
2007,29,6.23
2007,28,6.22
2007,27,6.21
2007,26,6.16
2007,25,6.11
2007,24,5.66
2007,23,5.56
2007,22,5.48
2007,21,5.43
2007,20,5.40
2007,19,5.34
2007,18,5.31
2007,17,5.32
2007,16,5.31
2007,15,5.29
2007,14,5.25
2007,13,5.24
2007,12,5.18
2007,11,5.20
2007,10,5.21
2007,9,5.22
2007,8,5.25
2007,7,5.25
2007,6,5.25
2007,5,5.28
2007,4,5.25
2007,3,5.24
2007,2,5.24
2007,1,5.22
2006,52,5.22
2006,51,5.20
2006,50,5.17
2006,49,5.16
2006,48,5.18
2006,47,5.18
2006,46,5.19
2006,45,5.13
2006,44,5.21
2006,43,5.26
2006,42,5.25
2006,41,5.23
2006,40,5.20
2006,39,5.17
2006,38,5.24
2006,37,5.26
2006,36,5.26
2006,35,5.26
2006,34,5.28
2006,33,5.34
2006,32,5.31
2006,31,5.34
2006,30,5.35
2006,29,5.39
2006,28,5.40
2006,27,5.43
2006,26,5.40
2006,25,5.34
2006,24,5.33
2006,23,5.35
2006,22,5.35
2006,21,5.32
2006,20,5.36
2006,19,5.37
2006,18,5.34
2006,17,5.28
2006,16,5.29
2006,15,5.26
2006,14,5.26
2006,13,5.05
2006,12,5.09
2006,11,5.02
2006,10,4.90
2006,9,4.70
2006,8,4.52
2006,7,4.52
2006,6,4.50
2006,5,4.50
2006,4,4.51
2006,3,4.37
2006,2,4.36
2006,1,4.40
2005,52,4.44
2005,51,4.47
2005,50,4.48
2005,49,4.50
2005,48,4.50
2005,47,4.59
2005,46,4.60
2005,45,4.60
2005,44,4.47
2005,43,4.36
2005,42,4.31
2005,41,4.27
2005,40,4.25
2005,39,4.25
2005,38,4.21
2005,37,4.23
2005,36,4.22
2005,35,4.25
2005,34,4.22
2005,33,4.26
2005,32,4.32
2005,31,4.29
2005,30,4.24
2005,29,4.26
2005,28,4.23
2005,27,4.21
2005,26,4.18
2005,25,4.20
2005,24,4.22
2005,23,4.17
2005,22,4.22
2005,21,4.24
2005,20,4.25
2005,19,4.28
2005,18,4.30
2005,17,4.36
2005,16,4.38
2005,15,4.40
2005,14,4.41
2005,13,4.50
2005,12,4.53
2005,11,4.52
2005,10,4.52
2005,9,4.52
2005,8,4.50
2005,7,4.38
2005,6,4.32
2005,5,4.43
2005,4,4.51
2005,3,4.47
2005,2,4.59
2005,1,4.54
2004,52,4.97
2004,51,5.02
2004,50,5.02
2004,49,5.10
2004,48,5.13
2004,47,5.15
2004,46,5.18
2004,45,5.22
2004,44,5.19
2004,43,5.18
2004,42,5.18
2004,41,5.23
2004,40,5.23
2004,39,5.22
2004,38,5.27
2004,37,5.30
2004,36,5.27
2004,35,5.29
2004,34,5.28
2004,33,5.28
2004,32,5.33
2004,31,5.42
2004,30,5.40
2004,29,5.39
2004,28,5.40
2004,27,5.48
2004,26,5.50
2004,25,5.53
2004,24,5.52
2004,23,5.52
2004,22,5.48
2004,21,5.48
2004,20,5.46
2004,19,5.31
2004,18,5.34
2004,17,5.33
2004,16,5.31
2004,15,5.27
2004,14,5.20
2004,13,5.18
2004,12,5.18
2004,11,5.18
2004,10,5.24
2004,9,5.25
2004,8,5.28
2004,7,5.30
2004,6,5.33
2004,5,5.35
2004,4,5.28
2004,3,5.33
2004,2,4.95
2004,1,5.44
2003,52,5.45
2003,51,5.45
2003,50,5.52
2003,49,5.54
2003,48,5.58
2003,47,5.48
2003,46,5.60
2003,45,5.59
2003,44,5.56
2003,43,5.54
2003,42,5.56
2003,41,5.52
2003,40,5.45
2003,39,5.46
2003,38,5.56
2003,37,5.60
2003,36,5.65
2003,35,5.57
2003,34,5.57
2003,33,5.52
2003,32,5.52
2003,31,5.48
2003,30,5.41
2003,29,5.36
2003,28,5.32
2003,27,5.30
2003,26,5.25
2003,25,5.19
2003,24,5.16
2003,23,5.23
2003,22,5.24
2003,21,5.25
2003,20,5.33
2003,19,5.38
2003,18,5.43
2003,17,5.47
2003,16,5.53
2003,15,5.51
2003,14,5.46
2003,13,5.49
2003,12,5.50
2003,11,5.29
2003,10,5.30
2003,9,5.33
2003,8,5.35
2003,7,5.38
2003,6,5.41
2003,5,5.46
2003,4,5.44
2003,3,5.52
2003,2,5.53
2003,1,5.56
2002,52,5.66
2002,51,5.67
2002,50,5.83
2002,49,6.02
2002,48,6.08
2002,47,6.06
2002,46,6.08
2002,45,6.16
2002,44,6.14
2002,43,6.20
2002,42,6.08
2002,41,5.94
2002,40,6.01
2002,39,6.04
2002,38,6.13
2002,37,6.24
2002,36,6.23
2002,35,6.06
2002,34,5.98
2002,33,5.92
2002,32,6.04
2002,31,6.20
2002,30,6.30
2002,29,6.33
2002,28,6.39
2002,27,6.37
2002,26,6.35
2002,25,6.41
2002,24,6.50
2002,23,6.52
2002,22,6.54
2002,21,6.56
2002,20,6.58
2002,19,6.56
2002,18,6.56
2002,17,6.58
2002,16,6.58
2002,15,6.58
2002,14,6.58
2002,13,6.61
2002,12,6.61
2002,11,6.61
2002,10,6.53
2002,9,6.46
2002,8,6.45
2002,7,6.44
2002,6,6.37
2002,5,6.43
2002,4,6.31
2002,3,6.32
2002,2,6.31
2002,1,6.37
2001,52,6.40
2001,51,6.35
2001,50,6.29
2001,49,6.12
2001,48,6.16
2001,47,6.04
2001,46,5.90
2001,45,5.97
2001,44,6.16
2001,43,6.29
2001,42,6.35
2001,41,6.37
2001,40,6.37
2001,39,6.58
2001,38,6.56
2001,37,6.57
2001,36,6.62
2001,35,6.67
2001,34,6.59
2001,33,6.70
2001,32,6.85
2001,31,7.07
2001,30,7.12
2001,29,7.16
2001,28,7.11
2001,27,7.09
2001,26,7.07
2001,25,7.14
2001,24,7.12
2001,23,7.18
2001,22,7.17
2001,21,7.12
2001,20,7.05
2001,19,6.98
2001,18,7.01
2001,17,6.93
2001,16,6.76
2001,15,6.63
2001,14,6.63
2001,13,6.62
2001,12,6.74
2001,11,6.83
2001,10,6.94
2001,9,7.16
2001,8,7.13
2001,7,7.13
2001,6,7.11
2001,5,7.25
2001,4,7.25
2001,3,7.25
2001,2,7.35
2001,1,7.00
2000,52,7.24
2000,51,7.28
2000,50,7.34
2000,49,7.28
2000,48,7.37
2000,47,7.34
2000,46,7.41
2000,45,7.50
2000,44,7.58
2000,43,7.71
2000,42,7.71
2000,41,7.81
2000,40,8.06
2000,39,8.04
2000,38,8.14
2000,37,8.05
2000,36,7.96
2000,35,7.99
2000,34,8.04
2000,33,7.93
2000,32,8.07
2000,31,8.09
2000,30,8.10
2000,29,8.15
2000,28,8.18
2000,27,7.59
2000,26,7.63
2000,25,7.57
2000,24,7.53
2000,23,7.52
2000,22,7.53
2000,21,7.53
2000,20,7.58
2000,19,7.44
2000,18,7.40
2000,17,7.32
2000,16,7.22
2000,15,7.16
2000,14,7.22
2000,13,7.24
2000,12,7.25
2000,11,7.26
2000,10,7.32
2000,9,7.40
2000,8,7.33
2000,7,7.45
2000,6,7.41
2000,5,7.53
2000,4,7.66
2000,3,7.61
2000,2,7.54
2000,1,7.50
1999,52,7.37
1999,51,7.44
1999,50,7.23
1999,49,7.36
1999,48,7.52
1999,47,7.51
1999,46,7.55
1999,45,7.43
1999,44,7.58
1999,43,7.82
1999,42,7.89
1999,41,7.83
1999,40,7.90
1999,39,8.02
1999,38,8.08
1999,37,8.11
1999,36,8.12
1999,35,7.77
1999,34,7.82
1999,33,8.11
1999,32,8.11
1999,31,7.40
